profile,model_key,seed,horizon,target_family,split,top_frac,top_n,rest_n,top_mean,rest_mean,lift,lift_ci_p05,lift_ci_p50,lift_ci_p95
atr_only,hist_gradient_boosting,44,3,entry_movement,val_eval,0.05,333.0,6313.0,14.268348348348328,10.945683510217014,1.303559374344219,1.1898360110162922,1.3320034495907196,1.4752320493055597
atr_only,hist_gradient_boosting,44,3,entry_movement,val_eval,0.1,665.0,5981.0,13.494646616541335,10.847269687343255,1.2440592891579967,1.1031549855724074,1.248175954388578,1.3936124641469603
atr_only,hist_gradient_boosting,44,3,entry_movement,val_eval,0.2,1330.0,5316.0,13.795541353383452,10.440818284424381,1.3213084432245745,1.1678877710325306,1.42926594315772,1.709447530055297
atr_only,hist_gradient_boosting,44,3,entry_movement,low_n_disclosure,0.05,59.0,1103.0,24.656779661017012,40.33914777878515,0.611236999755962,0.6546274583154531,0.9413086502701693,1.7809101535100458
atr_only,hist_gradient_boosting,44,3,entry_movement,low_n_disclosure,0.1,117.0,1045.0,24.564273504273515,41.2199138755981,0.5959321889514037,0.6881004995124399,0.9542694619865186,1.5097424558635277
atr_only,hist_gradient_boosting,44,3,entry_movement,low_n_disclosure,0.2,233.0,929.0,26.014120171673813,42.93599569429497,0.6058813764770893,0.7237707832515138,0.9881823463883872,1.3846308980981268
atr_only,hist_gradient_boosting,42,6,entry_movement,val_select,0.05,333.0,6315.0,13.66444444444444,9.216969121140144,1.4825312165908766,1.2849512506680494,1.4625826014742844,1.7135438314741922
atr_only,hist_gradient_boosting,42,6,entry_movement,val_select,0.1,665.0,5983.0,12.615263157894734,9.086790907571453,1.3883078510569915,1.2436312172774804,1.3705414378241072,1.5113616059512072
atr_only,hist_gradient_boosting,42,6,entry_movement,val_select,0.2,1330.0,5318.0,11.686315789473683,8.877890184279803,1.3163393043728786,1.2079941026104848,1.3081436484791362,1.3876159226151492
atr_only,hist_gradient_boosting,42,6,entry_movement,val_eval,0.05,333.0,6313.0,19.617747747747735,16.193267859971492,1.2114755290524954,1.0984140043953308,1.2327936519199394,1.3702127498727616
atr_only,hist_gradient_boosting,42,6,entry_movement,val_eval,0.1,665.0,5981.0,20.85255639097745,15.865885303460962,1.314301470868991,1.1242683389820265,1.3147437848814767,1.5474314806143874
atr_only,hist_gradient_boosting,42,6,entry_movement,val_eval,0.2,1330.0,5316.0,28.044045112781966,13.442857411587662,2.0861669698741405,1.8614616072131587,2.0968098616024515,2.363667012183529
atr_only,hist_gradient_boosting,42,6,entry_movement,low_n_disclosure,0.05,59.0,1103.0,35.08830508474578,58.540353581142355,0.5993866271427646,0.6272941861480514,0.9316800695260624,1.879555999635256
atr_only,hist_gradient_boosting,42,6,entry_movement,low_n_disclosure,0.1,117.0,1045.0,34.925641025641035,59.860210526315804,0.58345336106506,0.6864713448702786,0.9548176034969438,1.547823003057634
atr_only,hist_gradient_boosting,42,6,entry_movement,low_n_disclosure,0.2,233.0,929.0,36.83103004291844,62.495791173304646,0.5893361673073911,0.717515426784467,0.9939578116460133,1.4186133562405858
atr_only,hist_gradient_boosting,43,6,entry_movement,val_select,0.05,333.0,6315.0,13.663063063063062,9.21704196357878,1.482369627593405,1.293952467967741,1.4687213056480264,1.7072903260066945
atr_only,hist_gradient_boosting,43,6,entry_movement,val_select,0.1,665.0,5983.0,12.60646616541353,9.087768677920774,1.3871904768044572,1.249087145532693,1.3776444855739536,1.501575019636976
atr_only,hist_gradient_boosting,43,6,entry_movement,val_select,0.2,1330.0,5318.0,11.531436090225561,8.91662467092892,1.2932512599551007,1.1961347535436946,1.2869706493705562,1.380079760052356
atr_only,hist_gradient_boosting,43,6,entry_movement,val_eval,0.05,333.0,6313.0,20.685195195195185,16.13696182480596,1.2818519012294878,1.1289650553420905,1.2669263062506824,1.3892857609580052
atr_only,hist_gradient_boosting,43,6,entry_movement,val_eval,0.1,665.0,5981.0,18.53724812030076,16.123313827119215,1.1497170072520289,1.0418655458654826,1.1609071202533103,1.286727868532188
atr_only,hist_gradient_boosting,43,6,entry_movement,val_eval,0.2,1330.0,5316.0,26.750766917293248,13.766420240782544,1.9431897653425563,1.619351192787371,1.856220212044832,2.122025697700919
atr_only,hist_gradient_boosting,43,6,entry_movement,low_n_disclosure,0.05,59.0,1103.0,35.08830508474578,58.540353581142355,0.5993866271427646,0.6272941861480514,0.9316800695260624,1.879555999635256
atr_only,hist_gradient_boosting,43,6,entry_movement,low_n_disclosure,0.1,117.0,1045.0,34.925641025641035,59.860210526315804,0.58345336106506,0.6864713448702786,0.9548176034969438,1.547823003057634
atr_only,hist_gradient_boosting,43,6,entry_movement,low_n_disclosure,0.2,233.0,929.0,36.83103004291844,62.495791173304646,0.5893361673073911,0.717515426784467,0.9939578116460133,1.4186133562405858
atr_only,hist_gradient_boosting,44,6,entry_movement,val_select,0.05,333.0,6315.0,13.517087087087083,9.224739509105305,1.465308269544631,1.2892393915802036,1.463894265643488,1.6957783123124601
atr_only,hist_gradient_boosting,44,6,entry_movement,val_select,0.1,665.0,5983.0,12.60735338345864,9.087670065184689,1.3873031583483684,1.2545816153462983,1.36687858351223,1.5044070880052243
atr_only,hist_gradient_boosting,44,6,entry_movement,val_select,0.2,1330.0,5318.0,11.470804511278194,8.931788266265514,1.2842674019269238,1.1986426698760264,1.275811269038087,1.3604884061443139
atr_only,hist_gradient_boosting,44,6,entry_movement,val_eval,0.05,333.0,6313.0,21.27615615615613,16.105789640424526,1.3210253350605243,1.123516020851846,1.274114502383604,1.4638281545085465
atr_only,hist_gradient_boosting,44,6,entry_movement,val_eval,0.1,665.0,5981.0,19.500390977443608,16.016226383547906,1.2175396694863583,1.0619349353033198,1.1921401530868303,1.317617587227044
atr_only,hist_gradient_boosting,44,6,entry_movement,val_eval,0.2,1330.0,5316.0,22.389142857142854,14.857646726862308,1.5069104326369371,1.1533886047268562,1.3537813466250768,1.6153499177850252
atr_only,hist_gradient_boosting,44,6,entry_movement,low_n_disclosure,0.05,59.0,1103.0,35.08830508474578,58.540353581142355,0.5993866271427646,0.6272941861480514,0.9316800695260624,1.879555999635256
atr_only,hist_gradient_boosting,44,6,entry_movement,low_n_disclosure,0.1,117.0,1045.0,34.925641025641035,59.860210526315804,0.58345336106506,0.6864713448702786,0.9548176034969438,1.547823003057634
atr_only,hist_gradient_boosting,44,6,entry_movement,low_n_disclosure,0.2,233.0,929.0,36.83103004291844,62.495791173304646,0.5893361673073911,0.717515426784467,0.9939578116460133,1.4186133562405858
atr_only,hist_gradient_boosting,42,12,entry_movement,val_select,0.05,333.0,6315.0,18.97837837837838,13.463032462391135,1.4096659449789128,1.2582057283193147,1.4128886287357476,1.6045242537000777
atr_only,hist_gradient_boosting,42,12,entry_movement,val_select,0.1,665.0,5983.0,17.91873684210526,13.274760153769014,1.3498350730666657,1.1896313733820967,1.33753651154868,1.4773405205464796
atr_only,hist_gradient_boosting,42,12,entry_movement,val_select,0.2,1330.0,5318.0,15.897676691729323,13.199499811959384,1.2044150852841606,1.1112482038497604,1.2062024727550538,1.28740955853081
atr_only,hist_gradient_boosting,42,12,entry_movement,val_eval,0.05,333.0,6313.0,24.2282882882883,23.545434817044203,1.0290015230786815,0.9071266752154654,1.0219408623337143,1.1871428411036533
atr_only,hist_gradient_boosting,42,12,entry_movement,val_eval,0.1,665.0,5981.0,28.113999999999997,23.07549573649892,1.2183486899278868,1.060382872875981,1.2343138240206983,1.438260658679579
atr_only,hist_gradient_boosting,42,12,entry_movement,val_eval,0.2,1330.0,5316.0,38.51235338345866,19.84366440933033,1.94078838409253,1.7323502334890066,1.994889057669048,2.2619110200260413
atr_only,hist_gradient_boosting,42,12,entry_movement,low_n_disclosure,0.05,59.0,1103.0,52.91966101694914,85.43342701722572,0.6194257079992715,0.6269815581040359,0.9396649993973667,1.9247340248509524
atr_only,hist_gradient_boosting,42,12,entry_movement,low_n_disclosure,0.1,117.0,1045.0,52.47743589743591,87.28753110047847,0.6012019727883935,0.643374100884221,0.9552880806675249,1.4882254256595397
atr_only,hist_gradient_boosting,42,12,entry_movement,low_n_disclosure,0.2,233.0,929.0,55.34321888412016,90.91534983853605,0.6087334975051922,0.6871000650235204,0.9962357759989173,1.4404049368014111
atr_only,hist_gradient_boosting,43,12,entry_movement,val_select,0.05,333.0,6315.0,19.02246246246246,13.460707838479811,1.4131844098185826,1.256065568856042,1.409275826527144,1.6091906831736107
