original_rank;rule_id;profile_id;model_id;target_id;filter_id;period;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2022Q3;155;66.91940890357994;25.22737023931672;2.6526510004315234;0.26898089460814983;0.0366666666666585;4.491800707590215;0.5419354838709678;0.0;{'ML_CLOSE': 108, 'TIME': 39, 'SL': 8}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2022Q4;101;49.0516796450716;12.957133637530163;3.7856891051114943;0.3573717426489251;-0.0010869565217381;2.5859419767907026;0.49504950495049505;0.0;{'ML_CLOSE': 72, 'TIME': 27, 'SL': 2}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2021Q1;29;15.239107308079106;2.295922242171297;6.637466647680191;0.44631672641061404;0.0787878787878585;0.6720930232558029;0.5862068965517241;0.0;{'ML_CLOSE': 16, 'TIME': 13}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2021Q2;121;65.21623944120915;10.47780354437326;6.224228118519293;0.45238376774244554;0.0806818181818227;1.3805681818181483;0.5950413223140496;0.0;{'ML_CLOSE': 85, 'TIME': 35, 'SL': 1}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2021Q3;160;69.17490517812288;24.064597023521017;2.8745507398486883;0.28193942596626165;-0.03641795865635565;5.203145128765311;0.43125;0.0;{'ML_CLOSE': 117, 'TIME': 38, 'SL': 5}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2021Q4;197;77.63133736271054;24.025467003000717;3.231210338305374;0.2721110170543647;0.0051282051282004;5.690029033643704;0.5126903553299492;0.0;{'ML_CLOSE': 144, 'TIME': 49, 'SL': 4}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2022Q1;200;91.09864381455584;36.97015427892353;2.4641131634792948;0.27064244767816154;-0.05181159420289755;3.461028129482763;0.395;0.0;{'ML_CLOSE': 142, 'TIME': 41, 'SL': 17}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2022Q2;234;120.30384747488102;32.86226271498127;3.6608510046399463;0.3736819861534177;0.02587966220970945;2.074564093314091;0.5213675213675214;0.0;{'ML_CLOSE': 161, 'TIME': 65, 'SL': 8}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2022Q3;222;100.76324578009856;30.305613557747552;3.3249036713311715;0.3173767217223017;0.045138888888901454;3.928195658466965;0.5720720720720721;0.0;{'ML_CLOSE': 154, 'TIME': 58, 'SL': 10}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;2022Q4;172;74.46123920011875;26.282825232733728;2.8330759170966755;0.280107057949913;0.00202205882351565;3.9940392156862954;0.5058139534883721;0.0;{'ML_CLOSE': 122, 'TIME': 43, 'SL': 7}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2021Q1;33;16.412105844868414;3.862144418454987;4.2494800987876875;0.3803018614064675;0.0209302325581466;1.9279069767441506;0.5454545454545454;0.0;{'ML_CLOSE': 18, 'TIME': 14, 'SL': 1}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2021Q2;131;69.94972313754867;11.380185032619874;6.146624412261009;0.4470957107246472;0.0743589743589946;1.3805681818181483;0.5801526717557252;0.0;{'ML_CLOSE': 90, 'TIME': 40, 'SL': 1}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2021Q3;155;61.66644275764063;22.901126475162737;2.692725304343459;0.25009881472566386;-0.0194444444444582;5.203145128765311;0.4645161290322581;0.0;{'ML_CLOSE': 111, 'TIME': 38, 'SL': 6}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2021Q4;185;65.04503644636411;21.536763463303934;3.0201862298015696;0.23517985396248742;0.0058139534883931;3.2928443489589725;0.518918918918919;0.0;{'ML_CLOSE': 139, 'TIME': 44, 'SL': 2}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;2022Q1;177;79.64483881450082;29.102369409303158;2.736713210335401;0.2855506746056365;-0.0402777777777724;3.495590757645843;0.4124293785310734;0.0;{'ML_CLOSE': 130, 'TIME': 36, 'SL': 11}
